aw_deep_link,product_name,aw_product_id,merchant_product_id,merchant_image_url,description,merchant_category,search_price,merchant_name,merchant_id,category_name,category_id,aw_image_url,currency,store_price,delivery_cost,merchant_deep_link,language,last_updated,display_price,data_feed_id
"https://www.awin1.com/cread.php?awinmid=11348&awinaffid=123456&clickref=&p=https%3A%2F%2Fwww.notebooksbilliger.de%2Flenovo%2Fideapad-slim-3","Lenovo IdeaPad Slim 3 15.6"" FHD, Intel Core i5-1235U, 16GB RAM, 512GB SSD, Intel Iris Xe, Windows 11","1001","NB-1001","https://img.notebooksbilliger.de/lenovo-ideapad.jpg","Schlanker Alltags-Laptop mit 15.6 Zoll Display, Intel Core i5, 16GB Arbeitsspeicher und 512GB SSD.","Notebooks Windows","649.00","notebooksbilliger.de","11348","Laptops","64","https://img.notebooksbilliger.de/lenovo-ideapad.jpg","EUR","649.00","0.00","https://www.notebooksbilliger.de/lenovo/ideapad-slim-3","de","2026-08-24","649,00 EUR","27883"
"https://www.awin1.com/cread.php?awinmid=11348&awinaffid=123456&clickref=&p=https%3A%2F%2Fwww.notebooksbilliger.de%2Fmsi%2Fkatana-15","MSI Katana 15 15.6"" FHD 144Hz, AMD Ryzen 7, 16GB RAM, 1TB SSD, NVIDIA GeForce RTX 4060","1002","NB-1002","https://img.notebooksbilliger.de/msi-katana.jpg","Gaming-Notebook mit AMD Ryzen 7 Prozessor, RTX 4060 Grafikkarte, 16GB RAM und 1TB SSD fuer aktuelle Spiele.","Notebooks Windows","1399.00","notebooksbilliger.de","11348","Laptops","64","https://img.notebooksbilliger.de/msi-katana.jpg","EUR","1399.00","0.00","https://www.notebooksbilliger.de/msi/katana-15","de","2026-08-24","1399,00 EUR","27883"
"https://www.awin1.com/cread.php?awinmid=11348&awinaffid=123456&clickref=&p=https%3A%2F%2Fwww.notebooksbilliger.de%2Fdesktop%2Fbuero-pc","Buero Desktop-PC Intel Core i3, 8GB RAM, 256GB SSD, Windows 11","1003","NB-1003","https://img.notebooksbilliger.de/buero-pc.jpg","Kompakter Desktop-PC fuer Buero und Alltag mit Intel Core i3, 8GB RAM und 256GB SSD.","PC","399.00","notebooksbilliger.de","11348","Computers","85","https://img.notebooksbilliger.de/buero-pc.jpg","EUR","399.00","0.00","https://www.notebooksbilliger.de/desktop/buero-pc","de","2026-08-24","399,00 EUR","27883"
"https://www.awin1.com/cread.php?awinmid=11348&awinaffid=123456&clickref=&p=https%3A%2F%2Fwww.notebooksbilliger.de%2Fapple%2Fmacbook-air-m3","Apple MacBook Air 13"" M3 Chip, 16GB RAM, 512GB SSD, Space Grau","1004","NB-1004","https://img.notebooksbilliger.de/macbook-air.jpg","Apple MacBook Air mit M3 Chip, 16GB RAM und 512GB SSD, sehr lange Akkulaufzeit.","Apple-Notebooks","1249.00","notebooksbilliger.de","11348","Laptops","64","https://img.notebooksbilliger.de/macbook-air.jpg","EUR","1249.00","0.00","https://www.notebooksbilliger.de/apple/macbook-air-m3","de","2026-08-24","1249,00 EUR","27883"
"https://www.awin1.com/cread.php?awinmid=11348&awinaffid=123456&clickref=&p=https%3A%2F%2Fwww.notebooksbilliger.de%2Fintel%2Fnuc-mini-pc","Intel NUC 13 Mini PC, Intel Core i5, 16GB RAM, 512GB SSD, Windows 11","1005","NB-1005","https://img.notebooksbilliger.de/nuc-mini-pc.jpg","Kompakter Mini-PC fuer Buero und Wohnzimmer mit Intel Core i5, 16GB RAM und 512GB SSD.","PC","549.00","notebooksbilliger.de","11348","Computers","85","https://img.notebooksbilliger.de/nuc-mini-pc.jpg","EUR","549.00","0.00","https://www.notebooksbilliger.de/intel/nuc-mini-pc","de","2026-08-24","549,00 EUR","27883"
"https://www.awin1.com/cread.php?awinmid=11348&awinaffid=123456&clickref=&p=https%3A%2F%2Fwww.notebooksbilliger.de%2Fbarebone%2Fgaming-pc-ryzen5","Barebone Gaming-PC AMD Ryzen 5, 16GB RAM, 512GB SSD, NVIDIA GeForce RTX 4060, ohne Betriebssystem","1006","NB-1006","https://img.notebooksbilliger.de/gaming-pc-ryzen5.jpg","Individuell konfigurierbarer Gaming-Desktop-PC mit AMD Ryzen 5, RTX 4060, 16GB RAM und 512GB SSD, ohne Betriebssystem.","PC","899.00","notebooksbilliger.de","11348","Computers","85","https://img.notebooksbilliger.de/barebone/gaming-pc-ryzen5.jpg","EUR","899.00","0.00","https://www.notebooksbilliger.de/barebone/gaming-pc-ryzen5","de","2026-08-24","899,00 EUR","27883"
"https://www.awin1.com/cread.php?awinmid=11657&awinaffid=123456&clickref=&p=https%3A%2F%2Fwww.cyberport.de%2Fbusiness-komplett-pc","Business Komplett-PC Intel Core i5, 16GB RAM, 512GB SSD, Windows 11","2001","CP-2001","https://img.cyberport.de/business-pc.jpg","Individuell konfigurierter Business-Desktop-PC mit Intel Core i5, 16GB RAM und 512GB SSD.","PC","579.00","Cyberport","11657","Computers","85","https://img.cyberport.de/business-pc.jpg","EUR","579.00","0.00","https://www.cyberport.de/business-komplett-pc","de","2026-08-24","579,00 EUR","31707"
"https://www.awin1.com/cread.php?awinmid=11657&awinaffid=123456&clickref=&p=https%3A%2F%2Fwww.cyberport.de%2Famazon-fire-hd-8-kids","Amazon Fire HD 8 Kids Tablet, 8 Zoll, 32GB, Blau","2002","CP-2002","https://img.cyberport.de/fire-hd-8-kids.jpg","Robustes Kinder-Tablet mit Kindersicherung, 8 Zoll Display und 32GB Speicher.","Tablets","119.00","Cyberport","11657","Computers","85","https://img.cyberport.de/fire-hd-8-kids.jpg","EUR","119.00","0.00","https://www.cyberport.de/amazon-fire-hd-8-kids","de","2026-08-24","119,00 EUR","31707"
"https://www.awin1.com/cread.php?awinmid=11657&awinaffid=123456&clickref=&p=https%3A%2F%2Fwww.cyberport.de%2Flenovo-thinkcentre-ssd-kit","Lenovo ThinkCentre M.2 SSD Kit III - Speicher-Installationskit","2003","CP-2003","https://img.cyberport.de/thinkcentre-ssd-kit.jpg","Nachruest-Kit zur Installation einer zusaetzlichen M.2 SSD in ausgewaehlten Lenovo ThinkCentre Desktop-PCs.","Zubehoer","39.00","Cyberport","11657","Hardware","84","https://img.cyberport.de/thinkcentre-ssd-kit.jpg","EUR","39.00","0.00","https://www.cyberport.de/lenovo-thinkcentre-ssd-kit","de","2026-08-24","39,00 EUR","31707"
"https://www.awin1.com/cread.php?awinmid=11657&awinaffid=123456&clickref=&p=https%3A%2F%2Fwww.cyberport.de%2Facer-iconia-a10","Acer Iconia A10, 10.1 Zoll, 64GB, WiFi, Grau","2004","CP-2004","https://img.cyberport.de/acer-iconia-a10.jpg","Android-Tablet mit 10.1 Zoll Display und 64GB Speicher.","Computer & Zubehoer","229.00","Cyberport","11657","Computers","85","https://img.cyberport.de/acer-iconia-a10.jpg","EUR","229.00","0.00","https://www.cyberport.de/acer-iconia-a10","de","2026-08-24","229,00 EUR","31707"
"https://www.awin1.com/cread.php?awinmid=11657&awinaffid=123456&clickref=&p=https%3A%2F%2Fwww.cyberport.de%2Flenovo-idea-tab-tb336fu","Lenovo IdeaTab TB336FU, 8 Zoll, 64GB, Grau","2005","CP-2005","https://img.cyberport.de/lenovo-idea-tab-tb336fu.jpg","Kompaktes Android-Tablet mit 8 Zoll Display und 64GB Speicher.","Computer & Zubehoer","179.00","Cyberport","11657","Computers","85","https://img.cyberport.de/lenovo-idea-tab-tb336fu.jpg","EUR","179.00","0.00","https://www.cyberport.de/lenovo-idea-tab-tb336fu","de","2026-08-24","179,00 EUR","31707"
"https://www.awin1.com/cread.php?awinmid=11657&awinaffid=123456&clickref=&p=https%3A%2F%2Fwww.cyberport.de%2Fno-name-tab-x200","No-Name Tab X200, 10.1 Zoll, 128GB, WLAN","2006","CP-2006","https://img.cyberport.de/no-name-tab-x200.jpg","Android 14, MediaTek Helio G99 Prozessor, Mali-G57 Grafikeinheit, 4GB RAM, 128GB Speicher.","Computer & Zubehoer","249.00","Cyberport","11657","Computers","85","https://img.cyberport.de/no-name-tab-x200.jpg","EUR","249.00","0.00","https://www.cyberport.de/no-name-tab-x200","de","2026-08-24","249,00 EUR","31707"
"https://www.awin1.com/cread.php?awinmid=11348&awinaffid=123456&clickref=&p=https%3A%2F%2Fwww.notebooksbilliger.de%2Fhp%2F15s-einsteiger","HP 15s Einsteiger-Notebook Intel Celeron N4500, 8GB RAM, 256GB SSD, Windows 11","1007","NB-1007","https://img.notebooksbilliger.de/hp-15s.jpg","Guenstiges Einsteiger-Notebook mit Intel Celeron N4500, 8GB RAM und 256GB SSD.","Notebooks Windows","329.00","notebooksbilliger.de","11348","Laptops","64","https://img.notebooksbilliger.de/hp-15s.jpg","EUR","329.00","0.00","https://www.notebooksbilliger.de/hp/15s-einsteiger","de","2026-08-24","329,00 EUR","27883"
"https://www.awin1.com/cread.php?awinmid=11657&awinaffid=123456&clickref=&p=https%3A%2F%2Fwww.cyberport.de%2Fsamsung-odyssey-g7","Samsung Odyssey G7 32 Zoll Gaming-Monitor, WQHD, 240Hz","2007","CP-2007","https://img.cyberport.de/samsung-odyssey-g7.jpg","32 Zoll Curved Gaming-Monitor mit WQHD Aufloesung und 240Hz Bildwiederholrate.","Monitore","449.00","Cyberport","11657","Monitors","83","https://img.cyberport.de/samsung-odyssey-g7.jpg","EUR","449.00","0.00","https://www.cyberport.de/samsung-odyssey-g7","de","2026-08-24","449,00 EUR","31707"
"https://www.awin1.com/cread.php?awinmid=11657&awinaffid=123456&clickref=&p=https%3A%2F%2Fwww.cyberport.de%2Fxbox-game-pass","Xbox Game Pass Essential | 1 Monat","2008","CP-2008","https://img.cyberport.de/xbox-gamepass.jpg","Digitaler Abo-Code fuer Xbox Game Pass Essential, 1 Monat Laufzeit.","Software","7.50","Cyberport","11657","Hardware","84","https://img.cyberport.de/xbox-gamepass.jpg","EUR","7.50","0.00","https://www.cyberport.de/xbox-game-pass","de","2026-08-24","7,50 EUR","31707"
"https://www.awin1.com/cread.php?awinmid=11657&awinaffid=123456&clickref=&p=https%3A%2F%2Fwww.cyberport.de%2Flenovo-usb-c-kabel","Lenovo USB-C Kabel 1m schwarz","2009","CP-2009","https://img.cyberport.de/lenovo-usb-c-kabel.jpg","USB-C auf USB-C Ladekabel, 1 Meter, schwarz.","Zub. Notebooks Win","12.90","Cyberport","11657","Computers","85","https://img.cyberport.de/lenovo-usb-c-kabel.jpg","EUR","12.90","0.00","https://www.cyberport.de/lenovo-usb-c-kabel","de","2026-08-24","12,90 EUR","31707"
